ts_code,trade_date,name,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
801970.SI,20250724,环保,1896.66,1896.51,1907.02,1903.85,9.88,0.52,282163.0,2285256.0,25.94,1.61,36923888.0,83920872.0
801980.SI,20250724,美容护理,4809.89,4804.27,4936.88,4936.88,148.45,3.1,46544.0,1052928.0,40.26,3.37,13094095.0,34125492.0
801750.SI,20250724,计算机,4882.83,4882.83,4961.46,4961.46,67.67,1.38,692056.0,13698313.0,86.78,4.18,248465971.0,442861893.0
801760.SI,20250724,传媒,736.32,736.32,745.15,745.15,8.87,1.2,342693.0,3440730.0,43.89,2.83,86989038.0,162192572.0
801230.SI,20250724,综合,3095.51,3095.51,3122.61,3120.97,41.28,1.34,52748.0,346343.0,45.43,1.86,6780345.0,13072809.0
801210.SI,20250724,社会服务,8521.17,8521.17,8698.15,8698.15,171.25,2.01,187168.0,1782961.0,44.53,3.11,25697598.0,50546280.0
801010.SI,20250724,农林牧渔,2846.09,2827.33,2860.7,2860.7,3.72,0.13,324467.0,2562807.0,18.05,2.53,63675555.0,138602289.0
801040.SI,20250724,钢铁,2441.93,2441.93,2533.72,2533.72,66.04,2.68,641181.0,2318638.0,40.23,1.13,32700422.0,96853332.0
801030.SI,20250724,基础化工,3733.84,3733.62,3775.47,3775.47,33.67,0.9,821339.0,10043785.0,26.86,1.98,178711500.0,373607223.0
801130.SI,20250724,纺织服饰,1606.84,1606.84,1623.78,1623.78,17.42,1.08,163241.0,1233618.0,26.36,1.82,25088720.0,64586249.0
801140.SI,20250724,轻工制造,2167.08,2167.03,2179.41,2179.41,14.16,0.65,189142.0,1687295.0,29.21,1.81,38304132.0,99066948.0
801740.SI,20250724,国防军工,1658.92,1658.89,1688.84,1688.84,28.93,1.74,311346.0,6420658.0,84.84,3.46,123036103.0,284439544.0
801730.SI,20250724,电力设备,7513.85,7513.85,7612.81,7612.81,88.34,1.17,908927.0,14138723.0,32.71,2.54,313738728.0,604434770.0
801120.SI,20250724,食品饮料,17205.36,17205.36,17347.0,17333.39,121.87,0.71,150081.0,3057464.0,21.45,4.15,195612755.0,467084711.0
801110.SI,20250724,家用电器,8692.42,8660.93,8697.99,8693.94,5.56,0.06,144609.0,2321344.0,14.5,2.41,104929182.0,184188756.0
801710.SI,20250724,建筑材料,4993.49,4985.57,5110.19,5093.19,80.78,1.61,325665.0,2978797.0,30.39,1.3,36049894.0,76390712.0
801720.SI,20250724,建筑装饰,2086.56,2070.82,2131.39,2126.76,31.44,1.5,1125258.0,6553317.0,12.01,0.82,71355403.0,186867874.0
801950.SI,20250724,煤炭,2718.27,2693.38,2775.29,2768.86,44.88,1.65,396406.0,2111676.0,13.77,1.28,43648172.0,159367334.0
801960.SI,20250724,石油石化,2338.01,2329.53,2345.84,2344.32,0.31,0.01,224623.0,1285688.0,17.44,1.26,46878150.0,281115592.0
801780.SI,20250724,银行,4452.93,4384.12,4452.93,4387.02,-63.13,-1.42,495125.0,3975969.0,6.78,0.61,273327245.0,1102079227.0
801770.SI,20250724,通信,3510.23,3453.07,3510.23,3485.14,-5.25,-0.15,290532.0,7432802.0,35.71,3.17,132927963.0,272603654.0
801050.SI,20250724,有色金属,5471.74,5471.74,5674.01,5662.11,152.93,2.78,839938.0,14050734.0,21.58,2.49,176138502.0,324809108.0
801080.SI,20250724,电子,4739.99,4739.98,4788.65,4788.65,59.8,1.26,758344.0,18314512.0,55.2,3.78,461729510.0,909957497.0
801200.SI,20250724,商贸零售,2223.27,2223.27,2277.47,2277.47,57.9,2.61,365256.0,2800482.0,40.21,1.92,45119000.0,103683700.0
801170.SI,20250724,交通运输,2267.59,2265.44,2301.09,2301.09,33.6,1.48,547156.0,3339048.0,16.84,1.34,96653830.0,313779447.0
801180.SI,20250724,房地产,2105.35,2105.35,2157.12,2151.03,40.35,1.91,472291.0,2265258.0,42.66,0.78,50011410.0,115812381.0
801790.SI,20250724,非银金融,1952.48,1952.48,2003.88,2000.45,40.37,2.06,976093.0,11540585.0,15.74,1.4,270723631.0,640662938.0
801890.SI,20250724,机械设备,1756.38,1756.38,1774.75,1774.75,19.79,1.13,1036391.0,13526054.0,34.25,2.67,224970440.0,458579554.0
801880.SI,20250724,汽车,7168.37,7168.35,7231.23,7225.76,57.7,0.8,456101.0,7368021.0,27.21,2.54,185868740.0,417691360.0
801150.SI,20250724,医药生物,8451.18,8450.73,8609.79,8598.12,162.01,1.92,1037918.0,16527963.0,38.05,2.92,324872076.0,666555606.0
801160.SI,20250724,公用事业,2415.64,2399.12,2416.89,2416.89,-2.08,-0.09,538058.0,3732753.0,18.91,1.55,95943584.0,359292452.0
